project_id,work_name,work_type,category,district_id,state_id,constituency_id,contractor_id,agency_id,recommendation_date,sanction_date,target_completion_date,status,project_latitude,project_longitude
MPLADS-001092,Ayurvedic Dispensary at Ward-10,Ayurvedic Dispensary,Public Health,DIST-0252,ST-06,PC-0367,CONT-0197,AGENCY-0166,2023-08-20,2023-09-13,2024-04-10,WORK_IN_PROGRESS,10.81965,80.15843
MPLADS-001093,Yatri Shed at Ward-96,Yatri Shed,Community Infrastructure,DIST-0416,ST-11,PC-0608,CONT-0151,AGENCY-0203,2023-05-28,2023-07-18,2023-11-15,WORK_IN_PROGRESS,21.32763,87.10347
MPLADS-001094,Library Room at Ward-71,Library Room,Education Infrastructure,DIST-0170,ST-04,PC-0241,CONT-0253,AGENCY-0706,2023-09-27,2023-11-09,2024-04-07,WORK_IN_PROGRESS,22.92959,85.9734
MPLADS-001095,Community Hall at Ward-20,Community Hall,Community Infrastructure,DIST-0370,ST-09,PC-0535,CONT-0017,AGENCY-0586,2023-09-15,2023-11-08,2024-03-07,WORK_IN_PROGRESS,20.36048,74.02055
MPLADS-001096,District Sports Complex at Ward-24,District Sports Complex,Mega Infrastructure,DIST-0084,ST-02,PC-0124,CONT-0179,AGENCY-1186,2023-04-20,2023-06-13,2024-07-17,COMPLETED,18.65389,77.95411
MPLADS-001097,Solar Rooftop Panel at Ward-32,Solar Rooftop Panel,Renewable Energy,DIST-0563,ST-16,PC-0827,CONT-0054,AGENCY-0148,2023-06-08,2023-07-09,2023-09-07,WORK_IN_PROGRESS,31.90881,74.40224
MPLADS-001098,Yatri Shed at Ward-15,Yatri Shed,Community Infrastructure,DIST-0509,ST-15,PC-0742,CONT-0093,AGENCY-0791,2023-09-28,2023-10-25,2024-02-22,WORK_IN_PROGRESS,25.08219,94.83236
MPLADS-001099,Smart Classroom Lab at Ward-77,Smart Classroom Lab,Education Infrastructure,DIST-0054,ST-01,PC-0080,CONT-0090,AGENCY-0598,2023-02-08,2023-03-14,2023-08-11,WORK_IN_PROGRESS,26.69276,78.60124
MPLADS-001100,Public Toilet Complex at Ward-56,Public Toilet Complex,Community Infrastructure,DIST-0356,ST-09,PC-0517,CONT-0236,AGENCY-0213,2023-02-19,2023-03-18,2023-07-16,WORK_IN_PROGRESS,23.20239,73.66358
MPLADS-001101,Smart Classroom Lab at Ward-08,Smart Classroom Lab,Education Infrastructure,DIST-0108,ST-02,PC-0153,CONT-0080,AGENCY-0829,2022-04-30,2022-06-18,2022-11-15,WORK_IN_PROGRESS,16.36592,73.46385
MPLADS-001102,Paver Block Road at Ward-49,Paver Block Road,Roads & Bridges,DIST-0274,ST-07,PC-0401,CONT-0174,AGENCY-0113,2022-06-27,2022-08-07,2023-02-03,WORK_IN_PROGRESS,27.6343,74.01913
MPLADS-001103,Check Dam at Ward-98,Check Dam,Irrigation & Agriculture,DIST-0495,ST-14,PC-0722,CONT-0144,AGENCY-0043,2023-10-30,2023-12-03,2024-05-11,WORK_IN_PROGRESS,22.8295,84.65762
MPLADS-001104,Multi-Village Hospital Block at Ward-74,Multi-Village Hospital Block,Mega Infrastructure,DIST-0313,ST-07,PC-0460,CONT-0274,AGENCY-0129,2022-11-06,2022-12-28,2024-02-01,WORK_IN_PROGRESS,25.70854,75.71502
MPLADS-001105,Culvert Bridge at Ward-52,Culvert Bridge,Roads & Bridges,DIST-0516,ST-15,PC-0754,CONT-0179,AGENCY-1105,2023-04-12,2023-05-26,2023-11-22,WORK_IN_PROGRESS,24.81021,91.22174
MPLADS-001106,Library Room at Ward-45,Library Room,Education Infrastructure,DIST-0519,ST-15,PC-0758,CONT-0156,AGENCY-0747,2023-04-12,2023-04-28,2023-09-25,COMPLETED,25.72216,95.17349
MPLADS-001107,Primary Health Sub-Centre at Ward-56,Primary Health Sub-Centre,Public Health,DIST-0237,ST-06,PC-0345,CONT-0248,AGENCY-1100,2022-03-15,2022-04-15,2022-11-11,WORK_IN_PROGRESS,8.13108,77.24426
MPLADS-001108,Ayurvedic Dispensary at Ward-72,Ayurvedic Dispensary,Public Health,DIST-0095,ST-02,PC-0137,CONT-0153,AGENCY-1101,2023-05-28,2023-06-21,2024-01-17,WORK_IN_PROGRESS,16.44698,80.2127
MPLADS-001109,Lift Irrigation Scheme at Ward-81,Lift Irrigation Scheme,Irrigation & Agriculture,DIST-0243,ST-06,PC-0353,CONT-0047,AGENCY-0589,2022-04-15,2022-05-18,2022-10-25,WORK_IN_PROGRESS,9.97136,78.54434
MPLADS-001110,Crematorium Shed at Ward-83,Crematorium Shed,Community Infrastructure,DIST-0318,ST-08,PC-0466,CONT-0025,AGENCY-0321,2023-03-06,2023-03-22,2023-07-20,WORK_IN_PROGRESS,14.12602,75.92679
MPLADS-001111,Community Hall at Ward-46,Community Hall,Community Infrastructure,DIST-0333,ST-08,PC-0486,CONT-0314,AGENCY-0234,2022-05-09,2022-06-12,2022-10-10,WORK_IN_PROGRESS,12.23987,76.78904
MPLADS-001112,Solar Street Lighting at Ward-91,Solar Street Lighting,Renewable Energy,DIST-0533,ST-15,PC-0782,CONT-0078,AGENCY-1111,2022-04-01,2022-04-28,2022-06-27,WORK_IN_PROGRESS,26.34509,95.77405
MPLADS-001113,Bituminous Road at Ward-45,Bituminous Road,Roads & Bridges,DIST-0135,ST-03,PC-0194,CONT-0255,AGENCY-1101,2023-10-13,2023-11-27,2024-05-25,DELAYED,24.68739,86.02005
MPLADS-001114,Major River Overbridge at Ward-17,Major River Overbridge,Mega Infrastructure,DIST-0538,ST-15,PC-0790,CONT-0233,AGENCY-0507,2023-02-19,2023-04-04,2024-05-08,WORK_IN_PROGRESS,27.69313,93.36284
MPLADS-001115,Farm Pond Renovation at Ward-78,Farm Pond Renovation,Irrigation & Agriculture,DIST-0600,ST-18,PC-0883,CONT-0266,AGENCY-0061,2022-01-14,2022-02-24,2022-08-03,WORK_IN_PROGRESS,30.73629,76.24509
MPLADS-001116,CC Road Construction at Ward-03,CC Road Construction,Roads & Bridges,DIST-0087,ST-02,PC-0127,CONT-0223,AGENCY-0729,2023-04-18,2023-05-18,2023-11-14,WORK_IN_PROGRESS,20.4644,79.29554
MPLADS-001117,Paver Block Road at Ward-64,Paver Block Road,Roads & Bridges,DIST-0254,ST-06,PC-0370,CONT-0206,AGENCY-0658,2022-06-12,2022-07-18,2023-01-14,WORK_IN_PROGRESS,12.79833,76.16601
MPLADS-001118,Paver Block Road at Ward-67,Paver Block Road,Roads & Bridges,DIST-0181,ST-05,PC-0255,CONT-0073,AGENCY-0787,2023-03-25,2023-04-28,2023-10-25,COMPLETED,22.40256,80.51716
MPLADS-001119,Yatri Shed at Ward-83,Yatri Shed,Community Infrastructure,DIST-0472,ST-13,PC-0688,CONT-0271,AGENCY-0703,2023-05-03,2023-05-21,2023-09-18,WORK_IN_PROGRESS,8.20393,76.77024
MPLADS-001120,Crematorium Shed at Ward-54,Crematorium Shed,Community Infrastructure,DIST-0149,ST-03,PC-0211,CONT-0010,AGENCY-1183,2022-03-07,2022-04-11,2022-08-09,COMPLETED,26.16928,84.38803
MPLADS-001121,Smart Classroom Lab at Ward-72,Smart Classroom Lab,Education Infrastructure,DIST-0315,ST-07,PC-0462,CONT-0177,AGENCY-1002,2023-04-02,2023-05-16,2023-10-13,DELAYED,29.64982,77.76828
MPLADS-001122,Solar Rooftop Panel at Ward-16,Solar Rooftop Panel,Renewable Energy,DIST-0156,ST-04,PC-0220,CONT-0284,AGENCY-0516,2022-07-02,2022-08-01,2022-09-30,WORK_IN_PROGRESS,26.50781,85.67063
MPLADS-001123,Paver Block Road at Ward-22,Paver Block Road,Roads & Bridges,DIST-0395,ST-10,PC-0572,CONT-0107,AGENCY-0555,2023-04-15,2023-05-14,2023-11-10,WORK_IN_PROGRESS,17.08028,82.80961
MPLADS-001124,Lift Irrigation Scheme at Ward-51,Lift Irrigation Scheme,Irrigation & Agriculture,DIST-0356,ST-09,PC-0517,CONT-0101,AGENCY-0281,2022-11-13,2023-01-06,2023-06-15,COMPLETED,23.31198,73.58346
MPLADS-001125,School Additional Classroom at Ward-88,School Additional Classroom,Education Infrastructure,DIST-0112,ST-03,PC-0161,CONT-0118,AGENCY-0167,2023-10-20,2023-11-06,2024-04-04,WORK_IN_PROGRESS,24.67655,85.27124
MPLADS-001126,Multi-Village Hospital Block at Ward-96,Multi-Village Hospital Block,Mega Infrastructure,DIST-0179,ST-05,PC-0252,CONT-0074,AGENCY-1148,2023-10-14,2023-11-25,2024-12-29,COMPLETED,26.1591,77.48562
MPLADS-001127,Bituminous Road at Ward-30,Bituminous Road,Roads & Bridges,DIST-0026,ST-01,PC-0038,CONT-0223,AGENCY-0397,2022-03-24,2022-04-29,2022-10-26,WORK_IN_PROGRESS,27.67843,81.74187
MPLADS-001128,Library Room at Ward-35,Library Room,Education Infrastructure,DIST-0533,ST-15,PC-0782,CONT-0318,AGENCY-0559,2023-05-06,2023-05-22,2023-10-19,WORK_IN_PROGRESS,26.3715,95.7968
MPLADS-001129,Smart Classroom Lab at Ward-26,Smart Classroom Lab,Education Infrastructure,DIST-0174,ST-05,PC-0246,CONT-0169,AGENCY-0501,2022-10-11,2022-11-11,2023-04-10,DELAYED,21.77754,77.72338
MPLADS-001130,School Additional Classroom at Ward-01,School Additional Classroom,Education Infrastructure,DIST-0328,ST-08,PC-0479,CONT-0245,AGENCY-0737,2022-06-24,2022-07-29,2022-12-26,WORK_IN_PROGRESS,13.23905,74.03675
MPLADS-001131,School Additional Classroom at Ward-10,School Additional Classroom,Education Infrastructure,DIST-0270,ST-07,PC-0393,CONT-0202,AGENCY-0561,2022-09-26,2022-11-02,2023-04-01,WORK_IN_PROGRESS,26.85002,70.04113
MPLADS-001132,Solar Rooftop Panel at Ward-20,Solar Rooftop Panel,Renewable Energy,DIST-0550,ST-16,PC-0808,CONT-0008,AGENCY-0711,2023-07-16,2023-08-24,2023-10-23,WORK_IN_PROGRESS,31.32696,74.08496
MPLADS-001133,Culvert Bridge at Ward-28,Culvert Bridge,Roads & Bridges,DIST-0469,ST-13,PC-0685,CONT-0041,AGENCY-1127,2022-03-01,2022-04-23,2022-10-20,DELAYED,11.35955,75.44903
MPLADS-001134,Lift Irrigation Scheme at Ward-40,Lift Irrigation Scheme,Irrigation & Agriculture,DIST-0432,ST-11,PC-0630,CONT-0207,AGENCY-0593,2022-02-08,2022-02-26,2022-08-05,COMPLETED,18.09191,82.16523
MPLADS-001135,CC Road Construction at Ward-66,CC Road Construction,Roads & Bridges,DIST-0409,ST-11,PC-0595,CONT-0007,AGENCY-0035,2022-04-16,2022-05-03,2022-10-30,WORK_IN_PROGRESS,18.73183,84.00692
MPLADS-001136,Farm Pond Renovation at Ward-44,Farm Pond Renovation,Irrigation & Agriculture,DIST-0376,ST-09,PC-0544,CONT-0073,AGENCY-0527,2022-04-06,2022-05-09,2022-10-16,WORK_IN_PROGRESS,22.71154,70.09511
MPLADS-001137,School Boundary Wall at Ward-56,School Boundary Wall,Education Infrastructure,DIST-0555,ST-16,PC-0815,CONT-0129,AGENCY-0291,2022-10-06,2022-11-19,2023-04-18,WORK_IN_PROGRESS,30.46102,74.12077
MPLADS-001138,School Additional Classroom at Ward-03,School Additional Classroom,Education Infrastructure,DIST-0242,ST-06,PC-0352,CONT-0105,AGENCY-0791,2022-06-13,2022-08-11,2023-01-08,WORK_IN_PROGRESS,12.85272,77.84052
MPLADS-001139,Community Tank at Ward-10,Community Tank,Drinking Water,DIST-0297,ST-07,PC-0434,CONT-0096,AGENCY-0153,2022-11-15,2022-12-28,2023-03-28,WORK_IN_PROGRESS,28.99989,72.92114
MPLADS-001140,Bituminous Road at Ward-25,Bituminous Road,Roads & Bridges,DIST-0087,ST-02,PC-0127,CONT-0172,AGENCY-1104,2022-04-24,2022-06-17,2022-12-14,WORK_IN_PROGRESS,20.57405,79.35628
MPLADS-001141,Farm Pond Renovation at Ward-39,Farm Pond Renovation,Irrigation & Agriculture,DIST-0083,ST-02,PC-0123,CONT-0196,AGENCY-1133,2022-06-07,2022-06-29,2022-12-06,WORK_IN_PROGRESS,15.57044,76.5432
MPLADS-001142,Ayurvedic Dispensary at Ward-38,Ayurvedic Dispensary,Public Health,DIST-0448,ST-12,PC-0652,CONT-0115,AGENCY-0190,2022-09-11,2022-10-31,2023-05-29,COMPLETED,17.70025,79.45243
MPLADS-001143,Community Tank at Ward-73,Community Tank,Drinking Water,DIST-0434,ST-11,PC-0633,CONT-0198,AGENCY-1092,2022-10-01,2022-10-22,2023-01-20,WORK_IN_PROGRESS,18.73994,82.27843
MPLADS-001144,Major River Overbridge at Ward-95,Major River Overbridge,Mega Infrastructure,DIST-0517,ST-15,PC-0756,CONT-0104,AGENCY-0501,2022-03-30,2022-05-24,2023-06-28,WORK_IN_PROGRESS,26.74542,90.64245
MPLADS-001145,Deep Tube Well at Ward-24,Deep Tube Well,Drinking Water,DIST-0241,ST-06,PC-0351,CONT-0038,AGENCY-1189,2022-10-14,2022-11-11,2023-02-09,COMPLETED,8.57894,77.20033
MPLADS-001146,Culvert Bridge at Ward-79,Culvert Bridge,Roads & Bridges,DIST-0054,ST-01,PC-0081,CONT-0272,AGENCY-0610,2022-02-07,2022-02-23,2022-08-22,WORK_IN_PROGRESS,26.72474,78.57562
MPLADS-001147,District Sports Complex at Ward-17,District Sports Complex,Mega Infrastructure,DIST-0467,ST-12,PC-0682,CONT-0139,AGENCY-0937,2023-10-11,2023-11-02,2024-12-06,WORK_IN_PROGRESS,16.04865,77.37792
MPLADS-001148,Public Toilet Complex at Ward-71,Public Toilet Complex,Community Infrastructure,DIST-0519,ST-15,PC-0758,CONT-0210,AGENCY-0502,2023-06-29,2023-07-14,2023-11-11,WORK_IN_PROGRESS,25.69148,95.09422
MPLADS-001149,Multi-Village Hospital Block at Ward-86,Multi-Village Hospital Block,Mega Infrastructure,DIST-0504,ST-14,PC-0734,CONT-0288,AGENCY-0211,2022-05-21,2022-07-13,2023-08-17,DELAYED,23.05308,86.5582
MPLADS-001150,Deep Tube Well at Ward-91,Deep Tube Well,Drinking Water,DIST-0443,ST-12,PC-0645,CONT-0207,AGENCY-0909,2022-07-12,2022-08-19,2022-11-17,COMPLETED,16.04201,81.31292
MPLADS-001151,Ambulance Vehicle at Ward-71,Ambulance Vehicle,Public Health,DIST-0255,ST-06,PC-0372,CONT-0270,AGENCY-0045,2022-08-15,2022-09-15,2023-04-13,WORK_IN_PROGRESS,11.7916,76.98924
MPLADS-001152,Maternity Ward Facility at Ward-89,Maternity Ward Facility,Public Health,DIST-0554,ST-16,PC-0814,CONT-0296,AGENCY-0121,2022-10-27,2022-12-05,2023-07-03,WORK_IN_PROGRESS,31.27296,75.01919
MPLADS-001153,Culvert Bridge at Ward-79,Culvert Bridge,Roads & Bridges,DIST-0053,ST-01,PC-0078,CONT-0153,AGENCY-0244,2022-03-20,2022-05-14,2022-11-10,WORK_IN_PROGRESS,26.66509,80.48172
MPLADS-001154,Solar Street Lighting at Ward-44,Solar Street Lighting,Renewable Energy,DIST-0382,ST-10,PC-0552,CONT-0036,AGENCY-0259,2022-04-01,2022-05-06,2022-07-05,WORK_IN_PROGRESS,16.5903,82.7937
MPLADS-001155,Solar Rooftop Panel at Ward-40,Solar Rooftop Panel,Renewable Energy,DIST-0414,ST-11,PC-0604,CONT-0188,AGENCY-0093,2023-07-09,2023-08-09,2023-10-08,WORK_IN_PROGRESS,21.26632,87.48309
MPLADS-001156,Crematorium Shed at Ward-71,Crematorium Shed,Community Infrastructure,DIST-0060,ST-01,PC-0088,CONT-0218,AGENCY-0894,2022-07-13,2022-08-11,2022-12-09,WORK_IN_PROGRESS,25.29444,81.01775
MPLADS-001157,Multi-Village Hospital Block at Ward-01,Multi-Village Hospital Block,Mega Infrastructure,DIST-0461,ST-12,PC-0674,CONT-0270,AGENCY-0152,2023-01-26,2023-03-15,2024-04-18,WORK_IN_PROGRESS,17.56642,77.01931
MPLADS-001158,Primary Health Sub-Centre at Ward-72,Primary Health Sub-Centre,Public Health,DIST-0113,ST-03,PC-0162,CONT-0057,AGENCY-1142,2023-08-14,2023-08-29,2024-03-26,WORK_IN_PROGRESS,26.61944,85.35244
MPLADS-001159,Ayurvedic Dispensary at Ward-54,Ayurvedic Dispensary,Public Health,DIST-0481,ST-13,PC-0702,CONT-0017,AGENCY-0133,2022-08-27,2022-09-23,2023-04-21,WORK_IN_PROGRESS,9.23297,76.97691
MPLADS-001160,Primary Health Sub-Centre at Ward-15,Primary Health Sub-Centre,Public Health,DIST-0488,ST-14,PC-0712,CONT-0122,AGENCY-1090,2022-12-26,2023-02-08,2023-09-06,COMPLETED,22.6632,86.3247
MPLADS-001161,Farm Pond Renovation at Ward-90,Farm Pond Renovation,Irrigation & Agriculture,DIST-0188,ST-05,PC-0266,CONT-0183,AGENCY-0445,2023-03-24,2023-04-24,2023-10-01,WORK_IN_PROGRESS,26.17474,80.22577
MPLADS-001162,Solar High-Mast Light at Ward-77,Solar High-Mast Light,Renewable Energy,DIST-0145,ST-03,PC-0207,CONT-0186,AGENCY-0299,2022-12-03,2023-01-09,2023-03-10,COMPLETED,26.12921,84.66833
MPLADS-001163,Solar Rooftop Panel at Ward-81,Solar Rooftop Panel,Renewable Energy,DIST-0220,ST-05,PC-0320,CONT-0126,AGENCY-0028,2023-02-04,2023-03-18,2023-05-17,WORK_IN_PROGRESS,23.8529,76.57841
MPLADS-001164,Deep Tube Well at Ward-37,Deep Tube Well,Drinking Water,DIST-0472,ST-13,PC-0688,CONT-0077,AGENCY-0023,2023-11-18,2023-12-13,2024-03-12,COMPLETED,8.10151,76.78964
MPLADS-001165,Maternity Ward Facility at Ward-68,Maternity Ward Facility,Public Health,DIST-0269,ST-07,PC-0392,CONT-0268,AGENCY-0500,2023-08-13,2023-08-28,2024-03-25,WORK_IN_PROGRESS,25.48206,72.23981
MPLADS-001166,Bituminous Road at Ward-06,Bituminous Road,Roads & Bridges,DIST-0010,ST-01,PC-0013,CONT-0039,AGENCY-0404,2022-08-21,2022-10-11,2023-04-09,WORK_IN_PROGRESS,28.28633,79.99759
MPLADS-001167,Multi-Village Hospital Block at Ward-52,Multi-Village Hospital Block,Mega Infrastructure,DIST-0105,ST-02,PC-0150,CONT-0206,AGENCY-0953,2023-09-19,2023-11-17,2024-12-21,COMPLETED,16.88308,80.01422
MPLADS-001168,Maternity Ward Facility at Ward-11,Maternity Ward Facility,Public Health,DIST-0436,ST-12,PC-0637,CONT-0023,AGENCY-0765,2023-02-21,2023-03-23,2023-10-19,WORK_IN_PROGRESS,17.64812,80.6606
MPLADS-001169,Bituminous Road at Ward-01,Bituminous Road,Roads & Bridges,DIST-0351,ST-09,PC-0511,CONT-0207,AGENCY-1144,2023-03-01,2023-03-31,2023-09-27,WORK_IN_PROGRESS,24.4424,68.4175
MPLADS-001170,Primary Health Sub-Centre at Ward-19,Primary Health Sub-Centre,Public Health,DIST-0017,ST-01,PC-0025,CONT-0187,AGENCY-0992,2023-11-26,2024-01-09,2024-08-06,COMPLETED,27.03441,78.9476
MPLADS-001171,School Additional Classroom at Ward-54,School Additional Classroom,Education Infrastructure,DIST-0409,ST-11,PC-0596,CONT-0299,AGENCY-0991,2023-11-27,2024-01-08,2024-06-06,WORK_IN_PROGRESS,18.72757,83.96607
MPLADS-001172,Solar Street Lighting at Ward-20,Solar Street Lighting,Renewable Energy,DIST-0372,ST-09,PC-0538,CONT-0253,AGENCY-0034,2023-08-10,2023-09-04,2023-11-03,COMPLETED,23.85743,71.35248
MPLADS-001173,Major River Overbridge at Ward-90,Major River Overbridge,Mega Infrastructure,DIST-0166,ST-04,PC-0236,CONT-0056,AGENCY-0844,2022-12-16,2023-02-08,2024-03-14,WORK_IN_PROGRESS,24.10747,87.15073
MPLADS-001174,Deep Tube Well at Ward-31,Deep Tube Well,Drinking Water,DIST-0382,ST-10,PC-0552,CONT-0236,AGENCY-0202,2022-02-01,2022-02-23,2022-05-24,WORK_IN_PROGRESS,16.55306,82.7156
MPLADS-001175,Solar Rooftop Panel at Ward-44,Solar Rooftop Panel,Renewable Energy,DIST-0219,ST-05,PC-0319,CONT-0086,AGENCY-0769,2022-12-25,2023-02-08,2023-04-09,WORK_IN_PROGRESS,24.38916,77.53149
MPLADS-001176,Solar Street Lighting at Ward-15,Solar Street Lighting,Renewable Energy,DIST-0414,ST-11,PC-0604,CONT-0107,AGENCY-1000,2022-12-15,2023-01-09,2023-03-10,WORK_IN_PROGRESS,21.21929,87.40446
MPLADS-001177,Library Room at Ward-75,Library Room,Education Infrastructure,DIST-0374,ST-09,PC-0541,CONT-0072,AGENCY-0827,2023-11-26,2024-01-08,2024-06-06,COMPLETED,22.95882,73.18634
MPLADS-001178,Solar High-Mast Light at Ward-42,Solar High-Mast Light,Renewable Energy,DIST-0406,ST-11,PC-0591,CONT-0320,AGENCY-0385,2023-04-18,2023-05-27,2023-07-26,WORK_IN_PROGRESS,21.62939,82.78957
MPLADS-001179,Solar High-Mast Light at Ward-14,Solar High-Mast Light,Renewable Energy,DIST-0395,ST-10,PC-0572,CONT-0135,AGENCY-0152,2022-08-02,2022-08-26,2022-10-25,WORK_IN_PROGRESS,17.13978,82.85641
MPLADS-001180,Solar High-Mast Light at Ward-59,Solar High-Mast Light,Renewable Energy,DIST-0083,ST-02,PC-0123,CONT-0303,AGENCY-0187,2023-01-11,2023-02-21,2023-04-22,COMPLETED,15.58029,76.58248
MPLADS-001181,Major River Overbridge at Ward-47,Major River Overbridge,Mega Infrastructure,DIST-0052,ST-01,PC-0077,CONT-0149,AGENCY-0453,2022-05-06,2022-06-22,2023-07-27,WORK_IN_PROGRESS,24.90354,84.14588
MPLADS-001182,Major River Overbridge at Ward-55,Major River Overbridge,Mega Infrastructure,DIST-0615,ST-18,PC-0905,CONT-0217,AGENCY-0037,2023-03-23,2023-04-19,2024-05-23,WORK_IN_PROGRESS,29.0585,76.48974
MPLADS-001183,Public Toilet Complex at Ward-25,Public Toilet Complex,Community Infrastructure,DIST-0209,ST-05,PC-0302,CONT-0149,AGENCY-0532,2023-10-30,2023-11-20,2024-03-19,DELAYED,23.92212,81.07452
MPLADS-001184,Yatri Shed at Ward-85,Yatri Shed,Community Infrastructure,DIST-0103,ST-02,PC-0147,CONT-0027,AGENCY-0562,2022-05-25,2022-07-15,2022-11-12,WORK_IN_PROGRESS,17.55036,76.98345
MPLADS-001185,Community Hall at Ward-85,Community Hall,Community Infrastructure,DIST-0536,ST-15,PC-0786,CONT-0183,AGENCY-0621,2023-08-02,2023-08-29,2023-12-27,WORK_IN_PROGRESS,26.08955,93.98161
MPLADS-001186,Library Room at Ward-94,Library Room,Education Infrastructure,DIST-0612,ST-18,PC-0900,CONT-0048,AGENCY-0844,2023-05-23,2023-06-26,2023-11-23,WORK_IN_PROGRESS,30.82094,75.37918
MPLADS-001187,CC Road Construction at Ward-24,CC Road Construction,Roads & Bridges,DIST-0570,ST-17,PC-0840,CONT-0238,AGENCY-0601,2022-11-02,2022-12-23,2023-06-21,WORK_IN_PROGRESS,21.59094,81.4189
MPLADS-001188,Culvert Bridge at Ward-35,Culvert Bridge,Roads & Bridges,DIST-0313,ST-07,PC-0460,CONT-0003,AGENCY-1090,2023-07-04,2023-07-27,2024-01-23,DELAYED,25.62419,75.71152
MPLADS-001189,Yatri Shed at Ward-12,Yatri Shed,Community Infrastructure,DIST-0159,ST-04,PC-0224,CONT-0114,AGENCY-0392,2022-10-22,2022-11-27,2023-03-27,WORK_IN_PROGRESS,25.91851,87.68412
MPLADS-001190,CC Road Construction at Ward-85,CC Road Construction,Roads & Bridges,DIST-0482,ST-13,PC-0704,CONT-0311,AGENCY-0743,2022-06-11,2022-07-09,2023-01-05,WORK_IN_PROGRESS,10.78993,75.0791
MPLADS-001191,Bituminous Road at Ward-91,Bituminous Road,Roads & Bridges,DIST-0449,ST-12,PC-0653,CONT-0242,AGENCY-0486,2023-09-15,2023-10-14,2024-04-11,DELAYED,16.76397,81.08445
MPLADS-001192,Culvert Bridge at Ward-49,Culvert Bridge,Roads & Bridges,DIST-0339,ST-08,PC-0494,CONT-0060,AGENCY-0922,2022-06-23,2022-07-12,2023-01-08,COMPLETED,16.48756,76.70189
MPLADS-001193,Smart Classroom Lab at Ward-82,Smart Classroom Lab,Education Infrastructure,DIST-0011,ST-01,PC-0015,CONT-0002,AGENCY-1180,2022-01-23,2022-02-18,2022-07-18,COMPLETED,27.26766,78.16996
MPLADS-001194,Multi-Village Hospital Block at Ward-84,Multi-Village Hospital Block,Mega Infrastructure,DIST-0578,ST-17,PC-0854,CONT-0114,AGENCY-0113,2022-10-14,2022-11-29,2024-01-03,WORK_IN_PROGRESS,21.82745,83.94674
MPLADS-001195,Bituminous Road at Ward-69,Bituminous Road,Roads & Bridges,DIST-0420,ST-11,PC-0613,CONT-0215,AGENCY-0829,2022-02-23,2022-04-21,2022-10-18,WORK_IN_PROGRESS,21.47422,84.53783
MPLADS-001196,Solar Street Lighting at Ward-37,Solar Street Lighting,Renewable Energy,DIST-0563,ST-16,PC-0828,CONT-0113,AGENCY-0032,2022-06-24,2022-07-21,2022-09-19,WORK_IN_PROGRESS,32.02093,74.44425
MPLADS-001197,Solar Street Lighting at Ward-49,Solar Street Lighting,Renewable Energy,DIST-0108,ST-02,PC-0154,CONT-0182,AGENCY-0159,2023-09-25,2023-11-21,2024-01-20,COMPLETED,16.31744,73.44605
MPLADS-001198,Public Toilet Complex at Ward-84,Public Toilet Complex,Community Infrastructure,DIST-0423,ST-11,PC-0618,CONT-0292,AGENCY-0087,2022-06-04,2022-06-24,2022-10-22,WORK_IN_PROGRESS,19.09205,81.68897
MPLADS-001199,Paver Block Road at Ward-09,Paver Block Road,Roads & Bridges,DIST-0149,ST-03,PC-0211,CONT-0092,AGENCY-1228,2023-03-11,2023-05-07,2023-11-03,WORK_IN_PROGRESS,26.17204,84.40932
MPLADS-001200,Solar High-Mast Light at Ward-31,Solar High-Mast Light,Renewable Energy,DIST-0485,ST-14,PC-0708,CONT-0115,AGENCY-1008,2022-12-22,2023-02-09,2023-04-10,WORK_IN_PROGRESS,23.81515,86.90519
MPLADS-001201,Solar Street Lighting at Ward-70,Solar Street Lighting,Renewable Energy,DIST-0033,ST-01,PC-0048,CONT-0142,AGENCY-0547,2022-10-10,2022-12-01,2023-01-30,WORK_IN_PROGRESS,24.61565,83.22899
MPLADS-001202,Check Dam at Ward-20,Check Dam,Irrigation & Agriculture,DIST-0473,ST-13,PC-0689,CONT-0179,AGENCY-0791,2023-07-10,2023-08-06,2024-01-13,WORK_IN_PROGRESS,10.93577,77.0083
MPLADS-001203,Check Dam at Ward-79,Check Dam,Irrigation & Agriculture,DIST-0291,ST-07,PC-0426,CONT-0202,AGENCY-0355,2022-01-06,2022-01-29,2022-07-08,COMPLETED,24.98476,75.21593
MPLADS-001204,Multi-Village Hospital Block at Ward-64,Multi-Village Hospital Block,Mega Infrastructure,DIST-0399,ST-10,PC-0579,CONT-0073,AGENCY-0684,2022-02-08,2022-04-02,2023-05-07,COMPLETED,14.47837,80.03688
MPLADS-001205,Solar Street Lighting at Ward-03,Solar Street Lighting,Renewable Energy,DIST-0542,ST-16,PC-0794,CONT-0144,AGENCY-0211,2023-01-11,2023-02-07,2023-04-08,COMPLETED,31.79655,75.74059
MPLADS-001206,Solar High-Mast Light at Ward-70,Solar High-Mast Light,Renewable Energy,DIST-0149,ST-03,PC-0211,CONT-0195,AGENCY-0496,2022-11-19,2022-12-20,2023-02-18,COMPLETED,26.23814,84.35267
MPLADS-001207,District Sports Complex at Ward-48,District Sports Complex,Mega Infrastructure,DIST-0565,ST-17,PC-0831,CONT-0221,AGENCY-0500,2023-01-19,2023-02-19,2024-03-25,WORK_IN_PROGRESS,20.4173,82.34113
